GERÊNCIA,BACIA,RESERVATÓRIO,MUNICÍPIO,CAPACIDADE (m³),12/03/2026,13/03/2026,VOLUME ANTERIOR,VOLUME ATUAL,VARIAÇÃO_M,VARIAÇÃO_M³,SITUAÇÃO ATUAL,PERCENTUAL ATUAL,FALTA P/ SANGRAR,COTA_SANGRIA
GRALTJAG,Alto Jaguaribe,Valério,Altaneira,1835869,"53,98","54,01",1830973,1838387,"0,03",7414,1838387,"100,14%","-0,01",54
GRSALGADO,Salgado,Atalho,Brejo Santo,72552000,"412,1","412,1",21111477,21111477,0,0,21111477,"29,10%","12,9",425
GRSALGADO,Salgado,Cachoeira,Aurora,34330000,"305,07","305,07",34726900,34726900,0,0,34726900,"101,16%","-0,07",305
GRSALGADO,Salgado,Gomes,Mauriti,2390000,"417,3","417,3",815000,815000,0,0,815000,"34,10%","7,7",425
GRSALGADO,Salgado,Jenipapeiro II,Baixio,41400000,"252,99","252,99",5603970,5603970,0,0,5603970,"13,54%","7,01",260
GRSALGADO,Salgado,Lima Campos,Icó,51173962,"173,35","173,35",28701030,28701030,0,0,28701030,"56,09%","2,15","175,5"
GRSALGADO,Salgado,Manoel Balbino,Juazeiro do Norte,37180000,"419,8","419,8",13982000,13982000,0,0,13982000,"37,61%","7,2",427
GRSALGADO,Salgado,Olho d'Água,Várzea Alegre,19211028,"350,29","350,29",19724664,19724664,0,0,19724664,"102,67%","-0,29",350
GRSALGADO,Salgado,Prazeres,Barro,32500000,"91,1","91,1",19096400,19096400,0,0,19096400,"58,76%","6,9",98
GRSALGADO,Salgado,Quixabinha,Mauriti,31780000,"402,06","402,06",5884080,5884080,0,0,5884080,"18,52%","15,94",418
GRSALGADO,Salgado,Rosário,Lavras da Mangabeira,47220000,"288,06","288,06",47662800,47662800,0,0,47662800,"100,94%","-0,06",288
GRSALGADO,Salgado,São Domingos II,Caririaçu,2250000,"595,61","595,61",718666,718666,0,0,718666,"31,94%","6,65","602,26"
GRSALGADO,Salgado,Tatajuba,Icó,2720000,"219,93","219,93",2210600,2210600,0,0,2210600,"81,27%","0,57","220,5"
GRSALGADO,Salgado,Thomás Osterne,Crato,28780000,"438,7","438,7",21285000,21285000,0,0,21285000,"73,96%","2,3",441
GRSALGADO,Salgado,Ubaldinho,Cedro,42144843,"294,51","294,51",38970868,38970868,0,0,38970868,"92,47%","0,49",295
GRMBJAGUA,Médio Jaguaribe,Adauto Bezerra,Pereiro,4790000,"93,77","93,77",271918,271918,0,0,271918,"5,68%","6,23",100
GRMBJAGUA,Médio Jaguaribe,Canafístula,Iracema,11862551,"94,74","94,73",1187296,1180642,"-0,01",-6654,1180642,"9,95%","6,27",101
GRMBJAGUA,Médio Jaguaribe,Castanhão,Alto Santo,6700000000,"87,38","87,42",1513250000,1518930000,"0,04",5680000,1518930000,"22,67%","18,58",106
GRMBJAGUA,Médio Jaguaribe,Ema,Iracema,10390000,"20,28","20,27",4181600,4166900,"-0,01",-14700,4166900,"40,10%","3,23","23,5"
GRMBJAGUA,Médio Jaguaribe,Figueiredo,Alto Santo,497000000,"87,27","87,27",98164649,98164649,0,0,98164649,"19,75%","11,73",99
GRMBJAGUA,Médio Jaguaribe,Jenipapeiro,Dep. Irapuan Pinheiro,14586823,"96,22","96,22",8118135,8118135,0,0,8118135,"55,65%","2,28","98,5"
GRMBJAGUA,Médio Jaguaribe,Joaquim Távora,Jaguaribe,26772800,"111,25","111,25",12857500,12857500,0,0,12857500,"48,02%","3,2","114,45"
GRMBJAGUA,Médio Jaguaribe,Nova Floresta,Jaguaribe,5194457,"105,57","105,56",535077,530120,"-0,01",-4957,530120,"10,21%","5,44",111
GRMBJAGUA,Médio Jaguaribe,Potiretama,Potiretama,6380000,"92,57","92,56",574935,572143,"-0,01",-2792,572143,"8,97%","6,44",99
GRMBJAGUA,Médio Jaguaribe,Riacho da Serra,Alto Santo,23247502,"83,73","83,72",9518352,9496902,"-0,01",-21450,9496902,"40,85%","4,28",88
GRMBJAGUA,Médio Jaguaribe,Riacho do Sangue,Solonópole,58434157,"114,97","114,97",37634972,37634972,0,0,37634972,"64,41%","131,03",246
GRMBJAGUA,Médio Jaguaribe,Santa Maria,Ererê,6720000,"93,98","93,97",941663,936083,"-0,01",-5580,936083,"13,93%","5,03",99
GRMBJAGUA,Médio Jaguaribe,Santo Antônio,Iracema,1191395,"49,64","49,63",259501,258386,"-0,01",-1115,258386,"21,69%","4,87","54,5"
GRMBJAGUA,Médio Jaguaribe,Tigre,Solonópole,3510000,"95,05","95,05",1169900,1169900,0,0,1169900,"33,33%","4,95",100
GRLITORAL,Litoral,Gameleira,Itapipoca,27921849,"35,76","35,76",20358756,20358756,0,0,20358756,"72,91%","1,24",37
GRLITORAL,Litoral,Missi,Miraíma,54369088,"52,87","52,87",35146170,35146170,0,0,35146170,"64,64%","1,83","54,7"
GRLITORAL,Litoral,Mundaú,Uruburetama,21300000,"162,39","162,39",16521975,16521975,0,0,16521975,"77,57%","3,99","166,38"
GRLITORAL,Litoral,Patos,Sobral,7550000,"104,15","104,15",4358000,4358000,0,0,4358000,"57,72%","1,85",106
GRLITORAL,Litoral,Poço Verde,Itapipoca,13337024,"66,19","66,2",7013486,7043629,"0,01",30143,7043629,"52,81%","1,8",68
GRLITORAL,Litoral,Quandú,Itapipoca,2447902,"95,59","95,61",1347998,1354320,"0,02",6322,1354320,"55,33%","2,89","98,5"
GRLITORAL,Litoral,Santo Antônio de Aracatiaçu,Sobral,28673089,"91,13","91,12",19458018,19411104,"-0,01",-46914,19411104,"67,70%","1,88",93
GRLITORAL,Litoral,São Pedro Timbaúba,Miraíma,15786679,"97,5","97,53",10134279,10255851,"0,03",121572,10255851,"64,97%","1,47",99
GRBANABUIU,BANABUIÚ,Banabuiú,Banabuiú,1534000000,"126,85","126,85",428570810,428570810,0,0,428570810,"27,94%","15,65","142,5"
GRBANABUIU,BANABUIÚ,Capitão Mor,Pedra Branca,6000000,"94,39","94,39",3745200,3745200,0,0,3745200,"62,42%","2,91","97,3"
GRBANABUIU,BANABUIÚ,Cedro,Quixadá,126000000,"101,5","101,5",1348432,1348432,0,0,1348432,"1,07%",13,"114,5"
GRBANABUIU,BANABUIÚ,Cipoada,Morada Nova,86090000,"94,49","94,48",11607100,11569200,"-0,01",-37900,11569200,"13,44%","8,52",103
GRBANABUIU,BANABUIÚ,Curral Velho,Morada Nova,12170000,"84,24","84,22",9981200,9859600,"-0,02",-121600,9859600,"81,02%","0,38","84,6"
GRBANABUIU,BANABUIÚ,Fogareiro,Quixeramobim,118000000,"232,37","232,37",59561186,59561186,0,0,59561186,"50,48%","3,83","236,2"
GRBANABUIU,BANABUIÚ,José Barbosa Filho (Umari),Madalena,30000000,"306,49","306,49",12689413,12689413,0,0,12689413,"42,30%","3,51",310
GRBANABUIU,BANABUIÚ,Monsenhor Tabosa,Mons. Tabosa,11233854,"649,71","649,7",4297342,4288321,"-0,01",-9021,4288321,"38,17%","5,3",655
GRBANABUIU,BANABUIÚ,Patu,Senador Pompeu,65103000,"124,66","124,66",31099100,31099100,0,0,31099100,"47,77%","5,34",130
GRBANABUIU,BANABUIÚ,Pedras Brancas,Quixadá,456000000,"117,32","117,32",86058851,86058851,0,0,86058851,"18,87%","9,68",127
GRBANABUIU,BANABUIÚ,Margarida de Morais Queiroz (Pirabibu),Quixeramobim,74000000,"236,53","236,52",1788500,1774000,"-0,01",-14500,1774000,"2,40%","9,48",246
GRBANABUIU,BANABUIÚ,Poço do Barro,Morada Nova,52000000,"116,49","116,49",25776830,25776830,0,0,25776830,"49,57%","3,51",120
GRBANABUIU,BANABUIÚ,Quixeramobim,Quixeramobim,7889412,"99,37","99,36",2440211,2424852,"-0,01",-15359,2424852,"30,74%","2,64",102
GRBANABUIU,BANABUIÚ,São José I,Boa Viagem,2242104,"96,9","96,9",547395,547395,0,0,547395,"24,41%","3,1",100
GRBANABUIU,BANABUIÚ,São José II,Piquet Carneiro,13178908,"244,99","244,99",2870536,2870536,0,0,2870536,"21,78%","5,01",250
GRBANABUIU,BANABUIÚ,Serafim Dias,Mombaça,40940000,"251,55","251,58",25335777,25494464,"0,03",158687,25494464,"62,27%","2,92","254,5"
GRBANABUIU,BANABUIÚ,Trapiá II,Pedra Branca,18000000,"498,51","498,51",1986200,1986200,0,0,1986200,"11,03%","11,49",510
GRBANABUIU,BANABUIÚ,Vieirão,Boa Viagem,22426572,"96,93","96,92",8883412,8863855,"-0,01",-19557,8863855,"39,52%","4,58","101,5"
